Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1906,-.27,-.30,-.16,-.04,-.24,-.21,-.25,-.19,-.26,-.19,-.38,-.15,-.22,-.22,-.25,-.15,-.22,-.28
1907,-.41,-.51,-.26,-.38,-.47,-.43,-.36,-.35,-.33,-.24,-.48,-.48,-.39,-.36,-.36,-.37,-.38,-.35
1908,-.43,-.30,-.53,-.45,-.41,-.41,-.39,-.46,-.35,-.45,-.49,-.49,-.43,-.43,-.40,-.47,-.42,-.43
1909,-.68,-.46,-.51,-.60,-.56,-.52,-.45,-.31,-.35,-.36,-.30,-.55,-.47,-.46,-.54,-.55,-.43,-.34
1910,-.44,-.44,-.50,-.40,-.35,-.37,-.35,-.36,-.36,-.38,-.54,-.66,-.43,-.42,-.47,-.41,-.36,-.43
1911,-.63,-.58,-.60,-.53,-.52,-.48,-.41,-.42,-.37,-.23,-.18,-.21,-.43,-.47,-.62,-.55,-.43,-.26
1912,-.26,-.12,-.35,-.19,-.22,-.26,-.44,-.55,-.51,-.56,-.38,-.43,-.35,-.34,-.20,-.25,-.42,-.48
1913,-.41,-.43,-.43,-.39,-.47,-.48,-.36,-.34,-.35,-.34,-.18,-.03,-.35,-.38,-.42,-.43,-.39,-.29
1914,.04,-.11,-.22,-.29,-.23,-.26,-.24,-.14,-.13,-.04,-.18,-.08,-.15,-.15,-.03,-.24,-.22,-.11
1915,-.17,.00,-.09,.06,-.06,-.20,-.10,-.20,-.16,-.25,-.12,-.16,-.12,-.11,-.08,-.03,-.17,-.18
1916,-.08,-.12,-.28,-.30,-.32,-.46,-.36,-.25,-.31,-.27,-.39,-.80,-.33,-.27,-.12,-.30,-.36,-.32
1917,-.58,-.61,-.60,-.50,-.55,-.43,-.25,-.21,-.17,-.40,-.28,-.67,-.44,-.45,-.66,-.55,-.30,-.28
1918,-.42,-.31,-.24,-.45,-.45,-.35,-.31,-.29,-.14,-.05,-.10,-.27,-.28,-.31,-.46,-.38,-.32,-.10
1919,-.19,-.22,-.19,-.12,-.27,-.37,-.28,-.32,-.21,-.18,-.40,-.41,-.26,-.25,-.23,-.20,-.32,-.27
1920,-.22,-.22,-.07,-.25,-.26,-.35,-.31,-.24,-.18,-.26,-.26,-.43,-.25,-.25,-.28,-.20,-.30,-.23
1921,-.02,-.18,-.22,-.29,-.28,-.27,-.14,-.23,-.16,-.02,-.12,-.16,-.17,-.20,-.21,-.26,-.21,-.10
1922,-.33,-.43,-.12,-.23,-.33,-.32,-.25,-.30,-.31,-.31,-.13,-.18,-.27,-.27,-.31,-.23,-.29,-.25
1923,-.28,-.36,-.34,-.39,-.34,-.25,-.29,-.29,-.27,-.11,.01,-.02,-.24,-.26,-.27,-.36,-.28,-.12
